30 90; 0 0; -30 30
29 70; 1 18; -12 29
29 69; 1 19; -11 29
29 68; 1 20; -10 29
29 67; 1 21; -9 29
29 66; 1 22; -8 29
29 65; 1 23; -7 29
29 64; 1 24; -6 29
29 63; 1 25; -5 29
29 62; 1 26; -4 29
29 61; 1 27; -3 29
29 60; 1 28; -2 29
29 59; 1 29; -1 29
29 57; 1 30; 1 29
29 56; 1 31; 2 29
29 55; 1 32; 3 29
29 54; 1 33; 4 29
29 53; 1 34; 5 29
29 52; 1 35; 6 29
29 51; 1 36; 7 29
29 50; 1 37; 8 29
29 49; 1 38; 9 29
29 48; 1 39; 10 29
29 47; 1 40; 11 29
29 46; 1 41; 12 29
29 45; 1 42; 13 29
29 44; 1 43; 14 29
29 43; 1 44; 15 29
29 42; 1 45; 16 29
29 41; 1 46; 17 29
29 40; 1 47; 18 29
29 39; 1 48; 19 29
29 38; 1 49; 20 29
29 37; 1 50; 21 29
29 36; 1 51; 22 29
29 35; 1 52; 23 29
29 34; 1 53; 24 29
29 33; 1 54; 25 29
29 32; 1 55; 26 29
29 31; 1 56; 27 29
29 30; 1 57; 28 29
29 29; 1 58; 29 29
30 29; 1 59; 30 29
30 92; 2 0; -30 28
29 88; 2 1; -29 28
28 84; 2 2; -28 28
28 83; 2 3; -27 28
28 82; 2 4; -26 28
28 81; 2 5; -25 28
28 80; 2 6; -24 28
28 79; 2 7; -23 28
28 78; 2 8; -22 28
28 77; 2 9; -21 28
28 76; 2 10; -20 28
28 75; 2 11; -19 28
28 74; 2 12; -18 28
28 73; 2 13; -17 28
28 72; 2 14; -16 28
28 71; 2 15; -15 28
28 70; 2 16; -14 28
28 69; 2 17; -13 28
28 68; 2 18; -12 28
28 67; 2 19; -11 28
28 66; 2 20; -10 28
28 65; 2 21; -9 28
28 64; 2 22; -8 28
28 63; 2 23; -7 28
28 62; 2 24; -6 28
28 61; 2 25; -5 28
28 60; 2 26; -4 28
28 59; 2 27; -3 28
28 58; 2 28; -2 28
28 57; 2 29; -1 28
28 55; 2 30; 1 28
28 54; 2 31; 2 28
28 53; 2 32; 3 28
28 52; 2 33; 4 28
28 51; 2 34; 5 28
28 50; 2 35; 6 28
28 49; 2 36; 7 28
28 48; 2 37; 8 28
28 47; 2 38; 9 28
28 46; 2 39; 10 28
28 45; 2 40; 11 28
28 44; 2 41; 12 28
28 43; 2 42; 13 28
28 42; 2 43; 14 28
28 41; 2 44; 15 28
28 40; 2 45; 16 28
28 39; 2 46; 17 28
28 38; 2 47; 18 28
28 37; 2 48; 19 28
28 36; 2 49; 20 28
28 35; 2 50; 21 28
28 34; 2 51; 22 28
28 33; 2 52; 23 28
28 32; 2 53; 24 28
28 31; 2 54; 25 28
28 30; 2 55; 26 28
28 29; 2 56; 27 28
28 28; 2 57; 28 28
29 28; 2 58; 29 28
30 28; 2 59; 30 28
30 93; 3 0; -30 27
29 89; 3 1; -29 27
28 85; 3 2; -28 27
27 81; 3 3; -27 27
27 80; 3 4; -26 27
27 79; 3 5; -25 27
27 78; 3 6; -24 27
27 77; 3 7; -23 27
27 76; 3 8; -22 27
27 75; 3 9; -21 27
27 74; 3 10; -20 27
27 73; 3 11; -19 27
27 72; 3 12; -18 27
27 71; 3 13; -17 27
27 70; 3 14; -16 27
27 69; 3 15; -15 27
27 68; 3 16; -14 27
27 67; 3 17; -13 27
27 66; 3 18; -12 27
27 65; 3 19; -11 27
27 64; 3 20; -10 27
27 63; 3 21; -9 27
27 62; 3 22; -8 27
27 61; 3 23; -7 27
27 60; 3 24; -6 27
27 59; 3 25; -5 27
27 58; 3 26; -4 27
27 57; 3 27; -3 27
27 56; 3 28; -2 27
27 55; 3 29; -1 27
27 53; 3 30; 1 27
27 52; 3 31; 2 27
27 51; 3 32; 3 27
27 50; 3 33; 4 27
27 49; 3 34; 5 27
27 48; 3 35; 6 27
27 47; 3 36; 7 27
27 46; 3 37; 8 27
27 45; 3 38; 9 27
27 44; 3 39; 10 27
27 43; 3 40; 11 27
27 42; 3 41; 12 27
27 41; 3 42; 13 27
27 40; 3 43; 14 27
27 39; 3 44; 15 27
27 38; 3 45; 16 27
27 37; 3 46; 17 27
27 36; 3 47; 18 27
27 35; 3 48; 19 27
27 34; 3 49; 20 27
27 33; 3 50; 21 27
27 32; 3 51; 22 27
27 31; 3 52; 23 27
27 30; 3 53; 24 27
27 29; 3 54; 25 27
27 28; 3 55; 26 27
27 27; 3 56; 27 27
28 27; 3 57; 28 27
29 27; 3 58; 29 27
30 27; 3 59; 30 27
30 94; 4 0; -30 26
29 90; 4 1; -29 26
28 86; 4 2; -28 26
27 82; 4 3; -27 26
26 78; 4 4; -26 26
26 77; 4 5; -25 26
26 76; 4 6; -24 26
26 75; 4 7; -23 26
26 74; 4 8; -22 26
26 73; 4 9; -21 26
26 72; 4 10; -20 26
26 71; 4 11; -19 26
26 70; 4 12; -18 26
26 69; 4 13; -17 26
26 68; 4 14; -16 26
26 67; 4 15; -15 26
26 66; 4 16; -14 26
26 65; 4 17; -13 26
26 64; 4 18; -12 26
26 63; 4 19; -11 26
26 62; 4 20; -10 26
26 61; 4 21; -9 26
26 60; 4 22; -8 26
26 59; 4 23; -7 26
26 58; 4 24; -6 26
26 57; 4 25; -5 26
26 56; 4 26; -4 26
26 55; 4 27; -3 26
26 54; 4 28; -2 26
26 53; 4 29; -1 26
26 51; 4 30; 1 26
26 50; 4 31; 2 26
26 49; 4 32; 3 26
26 48; 4 33; 4 26
26 47; 4 34; 5 26
26 46; 4 35; 6 26
26 45; 4 36; 7 26
26 44; 4 37; 8 26
26 43; 4 38; 9 26
26 42; 4 39; 10 26
26 41; 4 40; 11 26
26 40; 4 41; 12 26
26 39; 4 42; 13 26
26 38; 4 43; 14 26
26 37; 4 44; 15 26
26 36; 4 45; 16 26
26 35; 4 46; 17 26
26 34; 4 47; 18 26
26 33; 4 48; 19 26
26 32; 4 49; 20 26
26 31; 4 50; 21 26
26 30; 4 51; 22 26
26 29; 4 52; 23 26
26 28; 4 53; 24 26
26 27; 4 54; 25 26
26 26; 4 55; 26 26
27 26; 4 56; 27 26
28 26; 4 57; 28 26
29 26; 4 58; 29 26
30 26; 4 59; 30 26
30 95; 5 0; -30 25
29 91; 5 1; -29 25
28 87; 5 2; -28 25
27 83; 5 3; -27 25
26 79; 5 4; -26 25
25 75; 5 5; -25 25
25 74; 5 6; -24 25
25 73; 5 7; -23 25
25 72; 5 8; -22 25
25 71; 5 9; -21 25
25 70; 5 10; -20 25
25 69; 5 11; -19 25
25 68; 5 12; -18 25
25 67; 5 13; -17 25
25 66; 5 14; -16 25
25 65; 5 15; -15 25
25 64; 5 16; -14 25
25 63; 5 17; -13 25
25 62; 5 18; -12 25
25 61; 5 19; -11 25
25 60; 5 20; -10 25
25 59; 5 21; -9 25
25 58; 5 22; -8 25
25 57; 5 23; -7 25
25 56; 5 24; -6 25
25 55; 5 25; -5 25
25 54; 5 26; -4 25
25 53; 5 27; -3 25
25 52; 5 28; -2 25
25 51; 5 29; -1 25
25 49; 5 30; 1 25
25 48; 5 31; 2 25
25 47; 5 32; 3 25
25 46; 5 33; 4 25
25 45; 5 34; 5 25
25 44; 5 35; 6 25
25 43; 5 36; 7 25
25 42; 5 37; 8 25
25 41; 5 38; 9 25
25 40; 5 39; 10 25
25 39; 5 40; 11 25
25 38; 5 41; 12 25
25 37; 5 42; 13 25
25 36; 5 43; 14 25
25 35; 5 44; 15 25
25 34; 5 45; 16 25
25 33; 5 46; 17 25
25 32; 5 47; 18 25
25 31; 5 48; 19 25
25 30; 5 49; 20 25
25 29; 5 50; 21 25
25 28; 5 51; 22 25
25 27; 5 52; 23 25
25 26; 5 53; 24 25
25 25; 5 54; 25 25
26 25; 5 55; 26 25
27 25; 5 56; 27 25
28 25; 5 57; 28 25
29 25; 5 58; 29 25
30 25; 5 59; 30 25
30 96; 6 0; -30 24
29 92; 6 1; -29 24
28 88; 6 2; -28 24
27 84; 6 3; -27 24
26 80; 6 4; -26 24
25 76; 6 5; -25 24
24 72; 6 6; -24 24
24 71; 6 7; -23 24
24 70; 6 8; -22 24
24 69; 6 9; -21 24
24 68; 6 10; -20 24
24 67; 6 11; -19 24
24 66; 6 12; -18 24
24 65; 6 13; -17 24
24 64; 6 14; -16 24
24 63; 6 15; -15 24
24 62; 6 16; -14 24
24 61; 6 17; -13 24
24 60; 6 18; -12 24
24 59; 6 19; -11 24
24 58; 6 20; -10 24
24 57; 6 21; -9 24
24 56; 6 22; -8 24
24 55; 6 23; -7 24
24 54; 6 24; -6 24
24 53; 6 25; -5 24
24 52; 6 26; -4 24
24 51; 6 27; -3 24
24 50; 6 28; -2 24
24 49; 6 29; -1 24
24 47; 6 30; 1 24
24 46; 6 31; 2 24
24 45; 6 32; 3 24
24 44; 6 33; 4 24
24 43; 6 34; 5 24
24 42; 6 35; 6 24
24 41; 6 36; 7 24
24 40; 6 37; 8 24
24 39; 6 38; 9 24
24 38; 6 39; 10 24
24 37; 6 40; 11 24
24 36; 6 41; 12 24
24 35; 6 42; 13 24
24 34; 6 43; 14 24
24 33; 6 44; 15 24
24 32; 6 45; 16 24
24 31; 6 46; 17 24
24 30; 6 47; 18 24
24 29; 6 48; 19 24
24 28; 6 49; 20 24
24 27; 6 50; 21 24
24 26; 6 51; 22 24
24 25; 6 52; 23 24
24 24; 6 53; 24 24
25 24; 6 54; 25 24
26 24; 6 55; 26 24
27 24; 6 56; 27 24
28 24; 6 57; 28 24
29 24; 6 58; 29 24
30 24; 6 59; 30 24
30 97; 7 0; -30 23
29 93; 7 1; -29 23
28 89; 7 2; -28 23
27 85; 7 3; -27 23
26 81; 7 4; -26 23
25 77; 7 5; -25 23
24 73; 7 6; -24 23
23 69; 7 7; -23 23
23 68; 7 8; -22 23
23 67; 7 9; -21 23
23 66; 7 10; -20 23
23 65; 7 11; -19 23
23 64; 7 12; -18 23
23 63; 7 13; -17 23
23 62; 7 14; -16 23
23 61; 7 15; -15 23
23 60; 7 16; -14 23
23 59; 7 17; -13 23
23 58; 7 18; -12 23
23 57; 7 19; -11 23
23 56; 7 20; -10 23
23 55; 7 21; -9 23
23 54; 7 22; -8 23
23 53; 7 23; -7 23
23 52; 7 24; -6 23
23 51; 7 25; -5 23
23 50; 7 26; -4 23
23 49; 7 27; -3 23
23 48; 7 28; -2 23
23 47; 7 29; -1 23
23 45; 7 30; 1 23
23 44; 7 31; 2 23
23 43; 7 32; 3 23
23 42; 7 33; 4 23
23 41; 7 34; 5 23
23 40; 7 35; 6 23
23 39; 7 36; 7 23
23 38; 7 37; 8 23
23 37; 7 38; 9 23
23 36; 7 39; 10 23
23 35; 7 40; 11 23
23 34; 7 41; 12 23
23 33; 7 42; 13 23
23 32; 7 43; 14 23
23 31; 7 44; 15 23
23 30; 7 45; 16 23
23 29; 7 46; 17 23
23 28; 7 47; 18 23
23 27; 7 48; 19 23
23 26; 7 49; 20 23
23 25; 7 50; 21 23
23 24; 7 51; 22 23
23 23; 7 52; 23 23
24 23; 7 53; 24 23
25 23; 7 54; 25 23
26 23; 7 55; 26 23
27 23; 7 56; 27 23
28 23; 7 57; 28 23
29 23; 7 58; 29 23
30 23; 7 59; 30 23
30 98; 8 0; -30 22
29 94; 8 1; -29 22
28 90; 8 2; -28 22
27 86; 8 3; -27 22
26 82; 8 4; -26 22
25 78; 8 5; -25 22
24 74; 8 6; -24 22
23 70; 8 7; -23 22
22 66; 8 8; -22 22
22 65; 8 9; -21 22
22 64; 8 10; -20 22
22 63; 8 11; -19 22
22 62; 8 12; -18 22
22 61; 8 13; -17 22
22 60; 8 14; -16 22
22 59; 8 15; -15 22
22 58; 8 16; -14 22
22 57; 8 17; -13 22
22 56; 8 18; -12 22
22 55; 8 19; -11 22
22 54; 8 20; -10 22
22 53; 8 21; -9 22
22 52; 8 22; -8 22
22 51; 8 23; -7 22
22 50; 8 24; -6 22
22 49; 8 25; -5 22
22 48; 8 26; -4 22
22 47; 8 27; -3 22
22 46; 8 28; -2 22
22 45; 8 29; -1 22
22 43; 8 30; 1 22
22 42; 8 31; 2 22
22 41; 8 32; 3 22
22 40; 8 33; 4 22
22 39; 8 34; 5 22
22 38; 8 35; 6 22
22 37; 8 36; 7 22
22 36; 8 37; 8 22
22 35; 8 38; 9 22
22 34; 8 39; 10 22
22 33; 8 40; 11 22
22 32; 8 41; 12 22
22 31; 8 42; 13 22
22 30; 8 43; 14 22
22 29; 8 44; 15 22
22 28; 8 45; 16 22
22 27; 8 46; 17 22
22 26; 8 47; 18 22
22 25; 8 48; 19 22
22 24; 8 49; 20 22
22 23; 8 50; 21 22
22 22; 8 51; 22 22
23 22; 8 52; 23 22
24 22; 8 53; 24 22
25 22; 8 54; 25 22
26 22; 8 55; 26 22
27 22; 8 56; 27 22
28 22; 8 57; 28 22
29 22; 8 58; 29 22
30 22; 8 59; 30 22
30 99; 9 0; -30 21
29 95; 9 1; -29 21
28 91; 9 2; -28 21
27 87; 9 3; -27 21
26 83; 9 4; -26 21
25 79; 9 5; -25 21
24 75; 9 6; -24 21
23 71; 9 7; -23 21
22 67; 9 8; -22 21
21 63; 9 9; -21 21
21 62; 9 10; -20 21
21 61; 9 11; -19 21
21 60; 9 12; -18 21
21 59; 9 13; -17 21
21 58; 9 14; -16 21
21 57; 9 15; -15 21
21 56; 9 16; -14 21
21 55; 9 17; -13 21
21 54; 9 18; -12 21
21 53; 9 19; -11 21
21 52; 9 20; -10 21
21 51; 9 21; -9 21
21 50; 9 22; -8 21
21 49; 9 23; -7 21
21 48; 9 24; -6 21
21 47; 9 25; -5 21
21 46; 9 26; -4 21
21 45; 9 27; -3 21
21 44; 9 28; -2 21
21 43; 9 29; -1 21
21 41; 9 30; 1 21
21 40; 9 31; 2 21
21 39; 9 32; 3 21
21 38; 9 33; 4 21
21 37; 9 34; 5 21
21 36; 9 35; 6 21
21 35; 9 36; 7 21
21 34; 9 37; 8 21
21 33; 9 38; 9 21
21 32; 9 39; 10 21
21 31; 9 40; 11 21
21 30; 9 41; 12 21
21 29; 9 42; 13 21
21 28; 9 43; 14 21
21 27; 9 44; 15 21
21 26; 9 45; 16 21
21 25; 9 46; 17 21
21 24; 9 47; 18 21
21 23; 9 48; 19 21
21 22; 9 49; 20 21
21 21; 9 50; 21 21
22 21; 9 51; 22 21
23 21; 9 52; 23 21
24 21; 9 53; 24 21
25 21; 9 54; 25 21
26 21; 9 55; 26 21
27 21; 9 56; 27 21
28 21; 9 57; 28 21
29 21; 9 58; 29 21
30 21; 9 59; 30 21
30 100; 10 0; -30 20
29 96; 10 1; -29 20
28 92; 10 2; -28 20
27 88; 10 3; -27 20
26 84; 10 4; -26 20
25 80; 10 5; -25 20
24 76; 10 6; -24 20
23 72; 10 7; -23 20
22 68; 10 8; -22 20
21 64; 10 9; -21 20
20 60; 10 10; -20 20
20 59; 10 11; -19 20
20 58; 10 12; -18 20
20 57; 10 13; -17 20
20 56; 10 14; -16 20
20 55; 10 15; -15 20
20 54; 10 16; -14 20
20 53; 10 17; -13 20
20 52; 10 18; -12 20
20 51; 10 19; -11 20
20 50; 10 20; -10 20
20 49; 10 21; -9 20
20 48; 10 22; -8 20
20 47; 10 23; -7 20
20 46; 10 24; -6 20
20 45; 10 25; -5 20
20 44; 10 26; -4 20
20 43; 10 27; -3 20
20 42; 10 28; -2 20
20 41; 10 29; -1 20
20 39; 10 30; 1 20
20 38; 10 31; 2 20
20 37; 10 32; 3 20
20 36; 10 33; 4 20
20 35; 10 34; 5 20
20 34; 10 35; 6 20
20 33; 10 36; 7 20
20 32; 10 37; 8 20
20 31; 10 38; 9 20
20 30; 10 39; 10 20
20 29; 10 40; 11 20
20 28; 10 41; 12 20
20 27; 10 42; 13 20
20 26; 10 43; 14 20
20 25; 10 44; 15 20
20 24; 10 45; 16 20
20 23; 10 46; 17 20
20 22; 10 47; 18 20
20 21; 10 48; 19 20
20 20; 10 49; 20 20
21 20; 10 50; 21 20
22 20; 10 51; 22 20
23 20; 10 52; 23 20
24 20; 10 53; 24 20
25 20; 10 54; 25 20
26 20; 10 55; 26 20
27 20; 10 56; 27 20
28 20; 10 57; 28 20
29 20; 10 58; 29 20
30 20; 10 59; 30 20
30 101; 11 0; -30 19
29 97; 11 1; -29 19
28 93; 11 2; -28 19
27 89; 11 3; -27 19
26 85; 11 4; -26 19
25 81; 11 5; -25 19
24 77; 11 6; -24 19
23 73; 11 7; -23 19
22 69; 11 8; -22 19
21 65; 11 9; -21 19
20 61; 11 10; -20 19
19 57; 11 11; -19 19
19 56; 11 12; -18 19
19 55; 11 13; -17 19
19 54; 11 14; -16 19
19 53; 11 15; -15 19
19 52; 11 16; -14 19
19 51; 11 17; -13 19
19 50; 11 18; -12 19
19 49; 11 19; -11 19
19 48; 11 20; -10 19
19 47; 11 21; -9 19
19 46; 11 22; -8 19
19 45; 11 23; -7 19
19 44; 11 24; -6 19
19 43; 11 25; -5 19
19 42; 11 26; -4 19
19 41; 11 27; -3 19
19 40; 11 28; -2 19
19 39; 11 29; -1 19
19 37; 11 30; 1 19
19 36; 11 31; 2 19
19 35; 11 32; 3 19
19 34; 11 33; 4 19
19 33; 11 34; 5 19
19 32; 11 35; 6 19
19 31; 11 36; 7 19
19 30; 11 37; 8 19
19 29; 11 38; 9 19
19 28; 11 39; 10 19
19 27; 11 40; 11 19
19 26; 11 41; 12 19
19 25; 11 42; 13 19
19 24; 11 43; 14 19
19 23; 11 44; 15 19
19 22; 11 45; 16 19
19 21; 11 46; 17 19
19 20; 11 47; 18 19
19 19; 11 48; 19 19
20 19; 11 49; 20 19
21 19; 11 50; 21 19
22 19; 11 51; 22 19
23 19; 11 52; 23 19
24 19; 11 53; 24 19
25 19; 11 54; 25 19
26 19; 11 55; 26 19
27 19; 11 56; 27 19
28 19; 11 57; 28 19
29 19; 11 58; 29 19
30 19; 11 59; 30 19
30 102; 12 0; -30 18
29 98; 12 1; -29 18
28 94; 12 2; -28 18
27 90; 12 3; -27 18
26 86; 12 4; -26 18
25 82; 12 5; -25 18
24 78; 12 6; -24 18
23 74; 12 7; -23 18
22 70; 12 8; -22 18
21 66; 12 9; -21 18
20 62; 12 10; -20 18
19 58; 12 11; -19 18
18 54; 12 12; -18 18
18 53; 12 13; -17 18
18 52; 12 14; -16 18
18 51; 12 15; -15 18
18 50; 12 16; -14 18
18 49; 12 17; -13 18
18 48; 12 18; -12 18
18 47; 12 19; -11 18
18 46; 12 20; -10 18
18 45; 12 21; -9 18
18 44; 12 22; -8 18
18 43; 12 23; -7 18
18 42; 12 24; -6 18
18 41; 12 25; -5 18
18 40; 12 26; -4 18
18 39; 12 27; -3 18
18 38; 12 28; -2 18
18 37; 12 29; -1 18
18 35; 12 30; 1 18
18 34; 12 31; 2 18
18 33; 12 32; 3 18
18 32; 12 33; 4 18
18 31; 12 34; 5 18
18 30; 12 35; 6 18
18 29; 12 36; 7 18
18 28; 12 37; 8 18
18 27; 12 38; 9 18
18 26; 12 39; 10 18
18 25; 12 40; 11 18
18 24; 12 41; 12 18
18 23; 12 42; 13 18
18 22; 12 43; 14 18
18 21; 12 44; 15 18
18 20; 12 45; 16 18
18 19; 12 46; 17 18
18 18; 12 47; 18 18
19 18; 12 48; 19 18
20 18; 12 49; 20 18
21 18; 12 50; 21 18
22 18; 12 51; 22 18
23 18; 12 52; 23 18
24 18; 12 53; 24 18
25 18; 12 54; 25 18
26 18; 12 55; 26 18
27 18; 12 56; 27 18
28 18; 12 57; 28 18
29 18; 12 58; 29 18
30 18; 12 59; 30 18
30 103; 13 0; -30 17
29 99; 13 1; -29 17
28 95; 13 2; -28 17
27 91; 13 3; -27 17
26 87; 13 4; -26 17
25 83; 13 5; -25 17
24 79; 13 6; -24 17
23 75; 13 7; -23 17
22 71; 13 8; -22 17
21 67; 13 9; -21 17
20 63; 13 10; -20 17
19 59; 13 11; -19 17
18 55; 13 12; -18 17
17 51; 13 13; -17 17
17 50; 13 14; -16 17
17 49; 13 15; -15 17
17 48; 13 16; -14 17
17 47; 13 17; -13 17
17 46; 13 18; -12 17
17 45; 13 19; -11 17
17 44; 13 20; -10 17
17 43; 13 21; -9 17
17 42; 13 22; -8 17
17 41; 13 23; -7 17
17 40; 13 24; -6 17
17 39; 13 25; -5 17
17 38; 13 26; -4 17
17 37; 13 27; -3 17
17 36; 13 28; -2 17
17 35; 13 29; -1 17
17 33; 13 30; 1 17
17 32; 13 31; 2 17
17 31; 13 32; 3 17
17 30; 13 33; 4 17
17 29; 13 34; 5 17
17 28; 13 35; 6 17
17 27; 13 36; 7 17
17 26; 13 37; 8 17
17 25; 13 38; 9 17
17 24; 13 39; 10 17
17 23; 13 40; 11 17
17 22; 13 41; 12 17
17 21; 13 42; 13 17
17 20; 13 43; 14 17
17 19; 13 44; 15 17
17 18; 13 45; 16 17
17 17; 13 46; 17 17
18 17; 13 47; 18 17
19 17; 13 48; 19 17
20 17; 13 49; 20 17
21 17; 13 50; 21 17
22 17; 13 51; 22 17
23 17; 13 52; 23 17
24 17; 13 53; 24 17
25 17; 13 54; 25 17
26 17; 13 55; 26 17
27 17; 13 56; 27 17
28 17; 13 57; 28 17
29 17; 13 58; 29 17
30 17; 13 59; 30 17
30 104; 14 0; -30 16
29 100; 14 1; -29 16
28 96; 14 2; -28 16
27 92; 14 3; -27 16
26 88; 14 4; -26 16
25 84; 14 5; -25 16
24 80; 14 6; -24 16
23 76; 14 7; -23 16
22 72; 14 8; -22 16
21 68; 14 9; -21 16
20 64; 14 10; -20 16
19 60; 14 11; -19 16
18 56; 14 12; -18 16
17 52; 14 13; -17 16
16 48; 14 14; -16 16
16 47; 14 15; -15 16
16 46; 14 16; -14 16
16 45; 14 17; -13 16
16 44; 14 18; -12 16
16 43; 14 19; -11 16
16 42; 14 20; -10 16
16 41; 14 21; -9 16
16 40; 14 22; -8 16
16 39; 14 23; -7 16
16 38; 14 24; -6 16
16 37; 14 25; -5 16
16 36; 14 26; -4 16
16 35; 14 27; -3 16
16 34; 14 28; -2 16
16 33; 14 29; -1 16
16 31; 14 30; 1 16
16 30; 14 31; 2 16
16 29; 14 32; 3 16
16 28; 14 33; 4 16
16 27; 14 34; 5 16
16 26; 14 35; 6 16
16 25; 14 36; 7 16
16 24; 14 37; 8 16
16 23; 14 38; 9 16
16 22; 14 39; 10 16
16 21; 14 40; 11 16
16 20; 14 41; 12 16
16 19; 14 42; 13 16
16 18; 14 43; 14 16
16 17; 14 44; 15 16
16 16; 14 45; 16 16
17 16; 14 46; 17 16
18 16; 14 47; 18 16
19 16; 14 48; 19 16
20 16; 14 49; 20 16
21 16; 14 50; 21 16
22 16; 14 51; 22 16
23 16; 14 52; 23 16
24 16; 14 53; 24 16
25 16; 14 54; 25 16
26 16; 14 55; 26 16
27 16; 14 56; 27 16
28 16; 14 57; 28 16
29 16; 14 58; 29 16
30 16; 14 59; 30 16
30 105; 15 0; -30 15
29 101; 15 1; -29 15
28 97; 15 2; -28 15
27 93; 15 3; -27 15
26 89; 15 4; -26 15
25 85; 15 5; -25 15
24 81; 15 6; -24 15
23 77; 15 7; -23 15
22 73; 15 8; -22 15
21 69; 15 9; -21 15
20 65; 15 10; -20 15
19 61; 15 11; -19 15
18 57; 15 12; -18 15
17 53; 15 13; -17 15
16 49; 15 14; -16 15
15 45; 15 15; -15 15
15 44; 15 16; -14 15
15 43; 15 17; -13 15
15 42; 15 18; -12 15
15 41; 15 19; -11 15
15 40; 15 20; -10 15
15 39; 15 21; -9 15
15 38; 15 22; -8 15
15 37; 15 23; -7 15
15 36; 15 24; -6 15
15 35; 15 25; -5 15
15 34; 15 26; -4 15
15 33; 15 27; -3 15
15 32; 15 28; -2 15
15 31; 15 29; -1 15
15 29; 15 30; 1 15
15 28; 15 31; 2 15
15 27; 15 32; 3 15
15 26; 15 33; 4 15
15 25; 15 34; 5 15
15 24; 15 35; 6 15
15 23; 15 36; 7 15
15 22; 15 37; 8 15
15 21; 15 38; 9 15
15 20; 15 39; 10 15
15 19; 15 40; 11 15
15 18; 15 41; 12 15
15 17; 15 42; 13 15
15 16; 15 43; 14 15
15 15; 15 44; 15 15
16 15; 15 45; 16 15
17 15; 15 46; 17 15
18 15; 15 47; 18 15
19 15; 15 48; 19 15
20 15; 15 49; 20 15
21 15; 15 50; 21 15
22 15; 15 51; 22 15
23 15; 15 52; 23 15
24 15; 15 53; 24 15
25 15; 15 54; 25 15
26 15; 15 55; 26 15
27 15; 15 56; 27 15
28 15; 15 57; 28 15
29 15; 15 58; 29 15
30 15; 15 59; 30 15
30 106; 16 0; -30 14
29 102; 16 1; -29 14
28 98; 16 2; -28 14
27 94; 16 3; -27 14
26 90; 16 4; -26 14
25 86; 16 5; -25 14
24 82; 16 6; -24 14
23 78; 16 7; -23 14
22 74; 16 8; -22 14
21 70; 16 9; -21 14
20 66; 16 10; -20 14
19 62; 16 11; -19 14
18 58; 16 12; -18 14
17 54; 16 13; -17 14
16 50; 16 14; -16 14
15 46; 16 15; -15 14
14 42; 16 16; -14 14
14 41; 16 17; -13 14
14 40; 16 18; -12 14
14 39; 16 19; -11 14
14 38; 16 20; -10 14
14 37; 16 21; -9 14
14 36; 16 22; -8 14
14 35; 16 23; -7 14
14 34; 16 24; -6 14
14 33; 16 25; -5 14
14 32; 16 26; -4 14
14 31; 16 27; -3 14
14 30; 16 28; -2 14
14 29; 16 29; -1 14
14 27; 16 30; 1 14
14 26; 16 31; 2 14
14 25; 16 32; 3 14
14 24; 16 33; 4 14
14 23; 16 34; 5 14
14 22; 16 35; 6 14
14 21; 16 36; 7 14
14 20; 16 37; 8 14
14 19; 16 38; 9 14
